geo_point_2d;geo_shape;id_smiley;idstandort;strname;hausnr;geschwind;richtung;hinweis;status;messbegin;messende;ogdeinzel;odganalyse
47.562403920363046, 7.562756305393999;"{""coordinates"": [7.562756305393999, 47.562403920363046], ""type"": ""Point""}";38;49;Welschmattstrasse;;30;Blotzheimerstrasse;vis a vis 27;ausser Betrieb;2023-08-01;2023-10-31;;
47.5714935862766, 7.666873922537661;"{""coordinates"": [7.666873922537661, 47.5714935862766], ""type"": ""Point""}";2;2;Hauptstrasse;;40;Büntenweg;auf Höhe Steinengasse 2;ausser Betrieb;2023-03-01;2023-05-31;;
47.592638026050196, 7.645558031684065;"{""coordinates"": [7.645558031684065, 47.592638026050196], ""type"": ""Point""}";6;7;Weilstrasse;;30;Ritterweg;Höhe Parkplatz Schwimmbad, Sommerstandort;in Betrieb;2023-06-01;2023-08-31;;
47.54073388512146, 7.6044056327254825;"{""coordinates"": [7.604405632725483, 47.54073388512146], ""type"": ""Point""}";34;42;Münchensteinerstrasse;;50;Dornacherstrasse;auf Höhe OBI;ausser Betrieb;2023-08-01;2023-10-31;;
47.52690598936196, 7.594024292037588;"{""coordinates"": [7.594024292037588, 47.52690598936196], ""type"": ""Point""}";43;54;Giornicostrasse;218;30;Beim Wasserturm;;ausser Betrieb;2023-03-01;2023-05-31;;
47.567342498161956, 7.574711123475233;"{""coordinates"": [7.574711123475233, 47.567342498161956], ""type"": ""Point""}";17;21;Landskronstrasse;62;30;Entenweidstrasse;;ausser Betrieb;2022-10-12;2022-10-12;;
47.56441312483764, 7.581597031044653;"{""coordinates"": [7.581597031044653, 47.56441312483764], ""type"": ""Point""}";19;22;Spitalstrasse;;50;Pestalozzistrasse;Höhe Tschudi-Park;ausser Betrieb;2023-08-01;2023-10-31;;
47.562911537932195, 7.583264789837328;"{""coordinates"": [7.583264789837328, 47.562911537932195], ""type"": ""Point""}";20;23;Spitalstrasse;21;30;Petersgraben;vor Eingang Frauenspital;ausser Betrieb;2024-01-01;2024-03-31;;
47.55897236608131, 7.5842865336616;"{""coordinates"": [7.5842865336616, 47.55897236608131], ""type"": ""Point""}";21;29;Petersgraben;;30;Spalenvorstadt;Höhe Petersplatz;ausser Betrieb;2024-01-01;2024-03-31;;
47.55600879569142, 7.5923281014363475;"{""coordinates"": [7.592328101436348, 47.55600879569142], ""type"": ""Point""}";23;110;Rittergasse;2;20;Bäumleingasse;;ausser Betrieb;2023-08-01;2023-10-31;;
47.54768473614954, 7.571378079422876;"{""coordinates"": [7.571378079422876, 47.54768473614954], ""type"": ""Point""}";24;30;Marschalkenstrasse;63;30;Kastelstrasse;;ausser Betrieb;2023-03-01;2023-05-31;;
47.54843409955184, 7.596232034662138;"{""coordinates"": [7.596232034662138, 47.54843409955184], ""type"": ""Point""}";26;33;Peter Merian-Strasse;20;30;Nauenstrasse;;ausser Betrieb;2022-10-12;2022-10-12;;
47.5476517109211, 7.604531337049817;"{""coordinates"": [7.604531337049817, 47.5476517109211], ""type"": ""Point""}";28;35;Engelgasse;120a;30;Hirzbodenweg;Winterstandort;ausser Betrieb;2024-01-01;2024-03-31;;
47.549201239374405, 7.613133048789887;"{""coordinates"": [7.613133048789887, 47.549201239374405], ""type"": ""Point""}";30;38;Emanuel Büchel-Strasse;45;30;Christoph Merian-Platz;;ausser Betrieb;2023-03-01;2023-05-31;;
47.54936808097244, 7.616868780072344;"{""coordinates"": [7.616868780072344, 47.54936808097244], ""type"": ""Point""}";32;40;Gellertstrasse;138;30;Redingstrasse;Winterstandort;ausser Betrieb;2024-01-03;2024-03-31;;
47.54683709282713, 7.618557077514559;"{""coordinates"": [7.618557077514559, 47.54683709282713], ""type"": ""Point""}";33;39;Gellertstrasse;160;30;Stadionstrasse;;ausser Betrieb;2023-08-03;2023-10-31;;
47.568236597919864, 7.5933423615884506;"{""coordinates"": [7.593342361588451, 47.568236597919864], ""type"": ""Point""}";47;31;Mörsbergerstrasse;58;20;Oetlingerstrasse;Vor Schulhof;ausser Betrieb;2023-03-01;2023-05-31;;
47.543809357341615, 7.586355521057957;"{""coordinates"": [7.586355521057957, 47.543809357341615], ""type"": ""Point""}";52;102;Gempenstrasse;48;20;Dolderweg;;ausser Betrieb;2023-03-01;2023-05-31;;
